date,city,aqi_mean
2025-03-31,Hồ Chí Minh,91.72727272727273
2025-03-31,Nha Trang,48.63636363636363
2025-03-31,Vinh,92.63636363636364
2025-03-31,Đà Nẵng,31.428571428571427
2025-04-01,Cần Thơ,78.16666666666667
2025-04-01,Huế,58.833333333333336
2025-04-01,Hà Nội,132.66666666666666
2025-04-01,Hải Phòng,88.20833333333333
2025-04-01,Hồ Chí Minh,107.29166666666667
2025-04-01,Nha Trang,21.875
2025-04-01,Vinh,107.5
2025-04-01,Đà Nẵng,37.541666666666664
2025-04-02,Cần Thơ,54.416666666666664
2025-04-02,Huế,74.65217391304348
2025-04-02,Hà Nội,172.29166666666666
2025-04-02,Hải Phòng,111.125
2025-04-02,Hồ Chí Minh,82.625
2025-04-02,Nha Trang,48.958333333333336
2025-04-02,Vinh,139.20833333333334
2025-04-02,Đà Nẵng,60.833333333333336
2025-04-03,Cần Thơ,62.708333333333336
2025-04-03,Huế,88.875
2025-04-03,Hà Nội,150.75
2025-04-03,Hải Phòng,100.16666666666667
2025-04-03,Hồ Chí Minh,52.333333333333336
2025-04-03,Nha Trang,67.375
2025-04-03,Vinh,127.375
2025-04-03,Đà Nẵng,63.291666666666664
2025-04-04,Cần Thơ,72.21739130434783
2025-04-04,Huế,92.1304347826087
2025-04-04,Hà Nội,143.16666666666666
2025-04-04,Hải Phòng,88.625
2025-04-04,Hồ Chí Minh,69.33333333333333
2025-04-04,Nha Trang,81.04347826086956
2025-04-04,Vinh,121.17391304347827
2025-04-04,Đà Nẵng,100.58333333333333
2025-04-05,Cần Thơ,70.41666666666667
2025-04-05,Huế,98.25
2025-04-05,Hà Nội,163.16666666666666
2025-04-05,Hải Phòng,104.70833333333333
2025-04-05,Hồ Chí Minh,70.70833333333333
2025-04-05,Nha Trang,70.04166666666667
2025-04-05,Vinh,115.33333333333333
2025-04-05,Đà Nẵng,103.25
2025-04-06,Cần Thơ,71.21739130434783
2025-04-06,Huế,83.69565217391305
2025-04-06,Hà Nội,169.91304347826087
2025-04-06,Hải Phòng,114.8695652173913
2025-04-06,Hồ Chí Minh,65.3913043478261
2025-04-06,Nha Trang,63.21739130434783
2025-04-06,Vinh,92.6086956521739
2025-04-06,Đà Nẵng,93.95652173913044
2025-04-07,Cần Thơ,67.625
2025-04-07,Huế,78.41666666666667
2025-04-07,Hà Nội,164.5
2025-04-07,Hải Phòng,133.58333333333334
2025-04-07,Hồ Chí Minh,84.70833333333333
2025-04-07,Nha Trang,72.58333333333333
2025-04-07,Vinh,87.54166666666667
2025-04-07,Đà Nẵng,86.58333333333333
2025-04-08,Cần Thơ,76.375
2025-04-08,Huế,65.16666666666667
2025-04-08,Hà Nội,169.04166666666666
2025-04-08,Hải Phòng,127.29166666666667
2025-04-08,Hồ Chí Minh,108.41666666666667
2025-04-08,Nha Trang,74.66666666666667
2025-04-08,Vinh,92.45833333333333
2025-04-08,Đà Nẵng,89.79166666666667
2025-04-09,Cần Thơ,75.9090909090909
2025-04-09,Huế,78.30434782608695
2025-04-09,Hà Nội,158.5909090909091
2025-04-09,Hải Phòng,99.65217391304348
2025-04-09,Hồ Chí Minh,77.17391304347827
2025-04-09,Nha Trang,72.26086956521739
2025-04-09,Vinh,90.6086956521739
2025-04-09,Đà Nẵng,106.47826086956522
2025-04-10,Cần Thơ,81.65217391304348
2025-04-10,Huế,83.21739130434783
2025-04-10,Hà Nội,154.52173913043478
2025-04-10,Hải Phòng,99.8695652173913
2025-04-10,Hồ Chí Minh,72.3913043478261
2025-04-10,Nha Trang,63.608695652173914
2025-04-10,Vinh,125.17391304347827
2025-04-10,Đà Nẵng,136.82608695652175
2025-04-11,Cần Thơ,87.75
2025-04-11,Huế,71.79166666666667
2025-04-11,Hà Nội,157.95833333333334
2025-04-11,Hải Phòng,121.625
2025-04-11,Hồ Chí Minh,61.958333333333336
2025-04-11,Nha Trang,67.41666666666667
2025-04-11,Vinh,144.625
2025-04-11,Đà Nẵng,129.29166666666666
2025-04-12,Cần Thơ,79.91666666666667
2025-04-12,Huế,55.791666666666664
2025-04-12,Hà Nội,167.20833333333334
2025-04-12,Hải Phòng,100.16666666666667
2025-04-12,Hồ Chí Minh,38.166666666666664
2025-04-12,Nha Trang,67.83333333333333
2025-04-12,Vinh,116.04166666666667
2025-04-12,Đà Nẵng,97.04166666666667
2025-04-13,Cần Thơ,74.875
2025-04-13,Huế,68.0
2025-04-13,Hà Nội,104.54166666666667
2025-04-13,Hải Phòng,81.95833333333333
2025-04-13,Hồ Chí Minh,40.833333333333336
2025-04-13,Nha Trang,63.708333333333336
2025-04-13,Vinh,97.04166666666667
2025-04-13,Đà Nẵng,46.916666666666664
2025-04-14,Cần Thơ,74.625
2025-04-14,Huế,95.625
2025-04-14,Hà Nội,137.95833333333334
2025-04-14,Hải Phòng,124.83333333333333
2025-04-14,Hồ Chí Minh,63.125
2025-04-14,Nha Trang,60.625
2025-04-14,Vinh,153.29166666666666
2025-04-14,Đà Nẵng,87.625
2025-04-15,Cần Thơ,69.52173913043478
2025-04-15,Huế,109.34782608695652
2025-04-15,Hà Nội,146.43478260869566
2025-04-15,Hải Phòng,168.6086956521739
2025-04-15,Hồ Chí Minh,92.3913043478261
2025-04-15,Nha Trang,63.17391304347826
2025-04-15,Vinh,134.47826086956522
2025-04-15,Đà Nẵng,106.78260869565217
2025-04-16,Cần Thơ,69.41666666666667
2025-04-16,Huế,99.95833333333333
2025-04-16,Hà Nội,154.79166666666666
2025-04-16,Hải Phòng,121.33333333333333
2025-04-16,Hồ Chí Minh,68.66666666666667
2025-04-16,Nha Trang,63.333333333333336
2025-04-16,Vinh,157.45833333333334
2025-04-16,Đà Nẵng,104.20833333333333
2025-04-17,Cần Thơ,100.5
2025-04-17,Huế,81.95833333333333
2025-04-17,Hà Nội,145.41666666666666
2025-04-17,Hải Phòng,107.08333333333333
2025-04-17,Hồ Chí Minh,76.5
2025-04-17,Nha Trang,64.34782608695652
2025-04-17,Vinh,172.875
2025-04-17,Đà Nẵng,97.41666666666667
2025-04-18,Cần Thơ,94.0
2025-04-18,Huế,57.0
2025-04-18,Hà Nội,152.95652173913044
2025-04-18,Hải Phòng,91.0
2025-04-18,Hồ Chí Minh,66.52173913043478
2025-04-18,Nha Trang,65.65217391304348
2025-04-18,Vinh,114.91304347826087
2025-04-18,Đà Nẵng,78.52173913043478
2025-04-19,Cần Thơ,78.33333333333333
2025-04-19,Huế,52.541666666666664
2025-04-19,Hà Nội,144.75
2025-04-19,Hải Phòng,83.625
2025-04-19,Hồ Chí Minh,55.166666666666664
2025-04-19,Nha Trang,67.20833333333333
2025-04-19,Vinh,80.0
2025-04-19,Đà Nẵng,89.25
2025-04-20,Cần Thơ,79.34782608695652
2025-04-20,Huế,52.95652173913044
2025-04-20,Hà Nội,107.3913043478261
2025-04-20,Hải Phòng,76.47826086956522
2025-04-20,Hồ Chí Minh,57.78260869565217
2025-04-20,Nha Trang,65.69565217391305
2025-04-20,Vinh,86.95652173913044
2025-04-20,Đà Nẵng,71.26086956521739
2025-04-21,Cần Thơ,82.0
2025-04-21,Huế,54.608695652173914
2025-04-21,Hà Nội,116.91304347826087
2025-04-21,Hải Phòng,71.8695652173913
